Alert ID,Ticker,Name,Description,Time
668372947,"BATS:IXJ, 1D",,Positive Divergence Detected,2023-01-27T14:30:01.000Z
668438056,"BATS:ITA, 1D",,Negative Divergence Detected,2023-01-27T14:30:00.000Z
668336444,"BATS:ICLN, 1D",,Positive Divergence Detected,2023-01-27T14:30:00.000Z
668471538,"BATS:XLY, 1D",,Negative Divergence Detected,2023-01-27T14:30:00.000Z
668471966,"BATS:XOP, 1D",,Negative Divergence Detected,2023-01-26T20:57:26.000Z
668462281,"BATS:RSP, 1D",,Negative Divergence Detected,2023-01-26T16:16:37.000Z
668390211,"BATS:SPLB, 1D",,Positive Divergence Detected,2023-01-26T15:54:15.000Z
668372947,"BATS:IXJ, 1D",,Positive Divergence Detected,2023-01-26T15:51:17.000Z
668434325,"BATS:EWZ, 1D",,Negative Divergence Detected,2023-01-26T15:24:14.000Z
668336082,"BATS:GSG, 1D",,Positive Divergence Detected,2023-01-26T15:11:44.000Z
668332137,"BATS:CPER, 1D",,Positive Divergence Detected,2023-01-26T15:10:57.000Z
668440034,"BATS:IXN, 1D",,Negative Divergence Detected,2023-01-26T15:10:21.000Z
668470184,"BATS:WOOD, 1D",,Negative Divergence Detected,2023-01-26T14:50:20.000Z
668462422,"BATS:SCHP, 1D",,Negative Divergence Detected,2023-01-26T14:42:02.000Z
668438595,"BATS:ITOT, 1D",,Negative Divergence Detected,2023-01-26T14:31:45.000Z
668430718,"BATS:DBC, 1D",,Negative Divergence Detected,2023-01-26T14:30:02.000Z
668434168,"BATS:EWY, 1D",,Negative Divergence Detected,2023-01-26T14:30:02.000Z
668430408,"BATS:CIBR, 1D",,Negative Divergence Detected,2023-01-26T14:30:02.000Z
668466060,"BATS:SIL, 1D",,Negative Divergence Detected,2023-01-26T14:30:02.000Z
668437536,"BATS:ILF, 1D",,Negative Divergence Detected,2023-01-26T14:30:02.000Z
668441442,"BATS:MOAT, 1D",,Negative Divergence Detected,2023-01-26T14:30:02.000Z
668438940,"BATS:IWB, 1D",,Negative Divergence Detected,2023-01-26T14:30:02.000Z
668462038,"BATS:REMX, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668469298,"BATS:VNQI, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668466601,"BATS:SMH, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668413584,"BATS:FDN, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668466185,"BATS:SKYY, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668431545,"BATS:EFG, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668469412,"BATS:VO, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668469941,"BATS:VTEB, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668469809,"BATS:VSS, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668433653,"BATS:EWS, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668428518,"BATS:AOM, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
668417486,"BATS:PSQ, 1D",,Positive Divergence Detected,2023-01-26T14:30:01.000Z
668472086,"BATS:XT, 1D",,Negative Divergence Detected,2023-01-26T14:30:01.000Z
